,STATE,NAME,CENSUS2010POP
6,1,Alabama,4779736
7,2,Alaska,710231
8,4,Arizona,6392017
9,5,Arkansas,2915918
10,6,California,37253956
11,8,Colorado,5029196
12,9,Connecticut,3574097
13,10,Delaware,897934
14,11,District of Columbia,601723
15,12,Florida,18801310
16,13,Georgia,9687653
17,15,Hawaii,1360301
18,16,Idaho,1567582
19,17,Illinois,12830632
20,18,Indiana,6483802
21,19,Iowa,3046355
22,20,Kansas,2853118
23,21,Kentucky,4339367
24,22,Louisiana,4533372
25,23,Maine,1328361
26,24,Maryland,5773552
27,25,Massachusetts,6547629
28,26,Michigan,9883640
29,27,Minnesota,5303925
30,28,Mississippi,2967297
31,29,Missouri,5988927
32,30,Montana,989415
33,31,Nebraska,1826341
34,32,Nevada,2700551
35,33,New Hampshire,1316470
36,34,New Jersey,8791894
37,35,New Mexico,2059179
38,36,New York,19378102
39,37,North Carolina,9535483
40,38,North Dakota,672591
41,39,Ohio,11536504
42,40,Oklahoma,3751351
43,41,Oregon,3831074
44,42,Pennsylvania,12702379
45,44,Rhode Island,1052567
46,45,South Carolina,4625364
47,46,South Dakota,814180
48,47,Tennessee,6346105
49,48,Texas,25145561
50,49,Utah,2763885
51,50,Vermont,625741
52,51,Virginia,8001024
53,53,Washington,6724540
54,54,West Virginia,1852994
55,55,Wisconsin,5686986
56,56,Wyoming,563626
57,72,Puerto Rico,3725789
